Rating;Content;Date
5;Лично меня все устраивает. Рекомендую.;2017-08-11
3;Нормально работает не зависает;2017-08-11
1;Гори в аду, тот кто придумал добавить антивирус и кастомную клавиатуру в приложение! Это вы так прикрывает свою некомпетентность по борьбе с фродом!;2017-08-11
3;Проверка прошивки лишняя.;2017-08-11
5;Отличное приложение;2017-08-11
5;Удобно.;2017-08-11
5;Мне нравится работает все.;2017-08-11
5;Выручает когда нет возможности снять денег;2017-08-11
3;Иной раз переустанавливать нужно;2017-08-11
5;Пользуюсь уже давно. Притензий нет.;2017-08-11
1;Поменяла айфон на самсунг, к сожалению, на андроид приложение работает ужасно. Проблем несколько: вход не с первого раза, думает, ну очень долго, если зайдешь, то после введения всех реквизитов, подтвердить не получается, приложение думает кучу времени, ужас одним словом! Приходится пользоваться основной версией - бред!!!! Разработчики! Разберитесь, пожалуйста!;2017-08-11
5;Большое благо для пенсионеров - проводили в очередях на оплату счетов по 2-3 часа , сейчас сидя на диване все платежи ЛЕГКО !;2017-08-11
5;Все наманаи;2017-08-11
5;Отличное приложение;2017-08-11
5;Мне нравится приложение но можно было бы между переводами сбербанка не брать комиссию;2017-08-11
3;Пропал значок отпечатка пальца, в чем причина??;2017-08-11
5;Мне всё нравится, всё работает. Очень облегчает бытовые платежи.;2017-08-11
4;Всё хорошо ! Плохо одно. Нет возможности закрыть онлайн-счёт через приложение. Надо ехать в банк;2017-08-11
5;Проблема с рутом(;2017-08-11
5;Пока отлично;2017-08-11
1;Приложение нравилось но увы.... Почему я не могу перевести деньги на другую карту сбербанка;2017-08-11
2;Часто вылетает и удаляется с планшета. Приложение МБ и неплохое и удобное, но этот минус перекрывает все. Третий раз уже удаляется.;2017-08-11
5;Ок;2017-08-11
5;Отлично всё работает быстро и качественно .;2017-08-11
5;Спасибо, долго хотела подключить Ваш сервис,но боялась. И, все-таки , я это сделала! Первой моей операцией был перевод денег с зарплатой карты на счет ТТК. Все получилось. Всем СПАСИБО !;2017-08-11
5;Хорошее приложение. Но многих функций не хватает;2017-08-11
5;Все супер;2017-08-11
5;Отличная программа;2017-08-11
5;Быстро, мобильно, отлично;2017-08-11
4;Мне все нравится;2017-08-11
5;Спасибо очень удобно без всяких хлопот.;2017-08-11
5;Очень удобно! Практически без замечаний. Пользуюсь уже 2 года.;2017-08-11
2;Не все функции,печаль.;2017-08-11
5;Приложение отличное!;2017-08-11
4;Все устраивает, только один вопрос. У меня был перевыпуск карты на новую фамилию. Но заблокированная старая все равно отображается в приложении и все средства с новой дублируются на старую, хотя она, повторюсь, заблокирована. Как устранить эту проблему?;2017-08-11
4;В связи с последними обновлениями работает приложение хорошо! Спасибо!😀;2017-08-11
5;Хорошее приложение;2017-08-11
3;Периодически при входе просит вводить два раза пароль, уберите этот баг;2017-08-11
4;Вроде номальное! Тупит иногда.;2017-08-11
5;Удобно);2017-08-11
3;Приходится два раза вводить пароль при входе в приложение, достало уже если честно.;2017-08-11
5;Хорошое приложение;2017-08-11
5;Все устраивает, мгновенные переводы...;2017-08-11
5;Разработчикам - приложение супер..но СИЛЬНО ГРУЗИТ систему ..возможно конфликтует с другими антивирусами ..не понятно...УДАЛИЛ и теперь мой Lenovo ЛЕТАЕТ...сделайте что нибудь или напишите нужен ли антивирус на Андроиде при пользовании вашим приложением;2017-08-11
5;Работает без сбоев и удобно в использовании.;2017-08-11
5;Быстро и удобно мне очень помогает;2017-08-11
4;Заметил такую странность, что при добавлении контактов в телефоне, например в аккаунте телеграмм, сбиваются все контакты внутри сбербанка онлайн. Пропадают значки сбербанка и я не могу зайти в программу с первого раза. Приходится два раза заходить и обновлять контакты внутри программы. Только после этого все начинает работать правильно. Исправьте пожалуйста. Очень неудобно.;2017-08-11
5;Супер.;2017-08-11
5;Я давольна приложением.спасибо разработчикам.Теперь не надо ходить и стоять в очереди.чтоб оплачивать коммунальные платежи и кредиты;2017-08-11
5;Работа оперативная, комфортная;2017-08-11
5;У меня не устанавливается... Выдаёт ошибку 24....;2017-08-11
5;На андроид 6 работает без нареканий. Оценка 5;2017-08-11
5;Очень удобно;2017-08-11
5;Спасибо;2017-08-11
5;Очень нравится;2017-08-11
5;Все норм );2017-08-11
5;Пока все работает хорошо, вопросов нет;2017-08-11
5;Спасибо, что Вы есть. Очень удобно;2017-08-11
5;Суперприложение;2017-08-11
5;Удобно;2017-08-11
3;Твердая тройка, не устраивает качество предоставления и формирования отчета о проведенных транзакциях ( не точно по событию и не всё показывает);2017-08-11
1;С 9.08.2017 не могу посмотреть выписку с лицевого счета;2017-08-11
2;Программа не очень удобная интуитивно не понятная, а с тех пор, как появился антивирус, начинаются всякие зависания, ошибка программы и тд. У меня на телефоне Касперский, мне достаточно! Почему я должна ещё какой то антивирусные терпеть? Скорее всего эти два антивируса несовместимы( неужели придется сносить?;2017-08-11
5;Удобно!;2017-08-11
5;Очень удобно.;2017-08-11
5;Круто!!!;2017-08-11
5;Мне нравится!;2017-08-11
1;Телефон Meizu m3 note, был куплен в салоне связи, прошивка оригинальная. Но сообщение о якобы неоригинальной прошивке и ограничение функционала приложения доставляет множество неудобств. Сами вынуждаете клиентов отказаться от сбербанка и перейти к вашим конкурентам с их приложениями. Еще у сбербанка много багов, которые стали уже нормой, но с чем в общем-то можно было бы и смириться, но ограничение функционала до минимума - полнейший бред. Пожалуйста, исправьте данную ситуацию.;2017-08-11
5;Нет слова;2017-08-11
5;Очень удобное приложение,не надо не куда ходить с малышом);2017-08-11
5;Очень качественное приложение;2017-08-11
1;При скачивании приложения выходит неизвестная ошибка -24,все перепробовл даже сброс настроек произвел,все равно не помогает;2017-08-11
4;Все отлично , но иногда приложение не работает .;2017-08-11
5;Очень удобное приложение. Я довольна.;2017-08-11
5;Меня всё устраивает.;2017-08-11
5;Отлична работает удобна;2017-08-11
5;Удобно и просто.;2017-08-11
5;Все отлично;2017-08-11
5;Удобно,понятно и быстро.;2017-08-11
5;Приложение нравится;2017-08-11
5;Здорово;2017-08-11
1;Снял звезды за навязанный антивирус, и при входе после набора пароля вылетает и требует ввести опять пароль;2017-08-11
5;Отличное приложение и удобное!!!;2017-08-11
5;Очень хорошо;2017-08-11
5;нормаха;2017-08-11
5;Оч удобно;2017-08-11
4;Удобное и простое приложение. Проблемы лишь со входом иногда.;2017-08-11
5;Лучшее банковское приложение;2017-08-11
5;Хорошее приложение, быстрое и удобное.;2017-08-11
4;Почему-то после ввода 5значного кода просит ввести его снова, хотя код верный - Поэтому 4 звезды;2017-08-11
4;Удобно...;2017-08-11
5;Удобно;2017-08-11
5;Все здорово работает. Спасибо )));2017-08-11
4;Сделайте если создается шаблон на платежь, что бы он сохранял и ИФО плательщика а так же адресс, и назначение платежа. Спасибо;2017-08-11
5;Мне очень понравилось;2017-08-11
5;Удобно использовать услуги, понятный интерфейс.;2017-08-11
5;Всё ОК.;2017-08-11
5;Мне очень удобно 😉;2017-08-11
5;Хорошо;2017-08-11
5;Всё классно!;2017-08-11
5;Удобное приложение;2017-08-11
4;Работает хорошо. Проблем не было.;2017-08-11
5;Удобно,экономит кучу времени.;2017-08-11
5;Супер гут.;2017-08-11
5;Удобно, приятно!) И широко распространено, что облегчает взаимодействие и переводы;2017-08-11
5;Отличное приложение!без тормозов и лагов;2017-08-11
5;Удобно. Небольшой офис в кармане. Но нередко есть необходимость пообщаться со специалистом в отделении. Живая консультация вне конкуренции.;2017-08-11
5;Удобно в любой момент!;2017-08-11
5;Очень простое,удобное,а главное функциональное приложение,в корне облегчающее оперативное управление счетами и вкладами. Спасибо СБ!);2017-08-11
5;Пользуясь недавно, пока все устраивает. Очень удобно и оперативно.;2017-08-11
5;Очень удобно;2017-08-11
5;Очень удобно пользоваться приложением, везде где угодно дома в гостях . Решаешь все свои проблемы.;2017-08-11
5;Обновление не устанавливается на ASUS. Задолбало.;2017-08-11
1;"Куда делась функция перевод 'клиенту сбербанка""?????!!!";2017-08-11
4;Долго загружается;2017-08-11
5;👌спасибо, все работает замечательно!;2017-08-11
5;Пока что все работает;2017-08-11
5;Прекрасно, удобно;2017-08-11
5;Отличное приложение;2017-08-11
5;Быстро удобно надёжно;2017-08-11
5;Супер;2017-08-11
5;Отлично;2017-08-11
5;Норма все;2017-08-11
4;Приходится несколько раз ваодить пароль, раньше такогг не было, решите проблему пожалуйста;2017-08-11
5;Мне всё нравится;2017-08-11
5;Удобно;2017-08-11
5;Очень удобно и хороший контроль безопасности.;2017-08-11
5;Очень удобно!;2017-08-11
5;Очень удобно мне всё нравиться;2017-08-11
5;Очень удобно! Просто до безобразия удобно!;2017-08-11
5;Класс;2017-08-11
5;Хорошее приложение;2017-08-11
5;Очень удобно не занемает много времени мне лично нравитца.;2017-08-11
5;Это лучшее приложение из банков;2017-08-11
1;До вашего последнего обновления всё было замечательно ,работало всё, была полная версия , а после обновления стала сокращенная или как там она у вас называется , во общем плохо не удобно стало;2017-08-11
1;Перестало работать после обновления. Старая версия работала стабильно.;2017-08-11
1;"Не работает на 3 телефонах meizu. Пишет""не оригинальная прошивка"".жду исправления уже пол года, если не пофиксят скорее всего сменю банк(на то есть несколько причин)";2017-08-11
5;Отличное приложение.Удобно и понятно.;2017-08-11
5;Мне приложение нравиться.;2017-08-11
5;Удобно и безопасно!;2017-08-11
5;Всё ок;2017-08-11
4;Нормальное приложение , обычное рабочее!!! Вполне выпоняет свои функции!!!;2017-08-11
5;Очень удобное приложение.;2017-08-11
5;Отличное приложение!!!;2017-08-11
5;Все отлично работает;2017-08-11
5;Хорошее приложение;2017-08-11
5;Приложение отличное, жалко лишь то, что нельзя зайти без интернета;2017-08-11
5;Мне нравится все просто;2017-08-11
5;Очень удобно. Спасибо, можно сделать что нужно не выходя из дома;2017-08-11
5;Пока все радует;2017-08-11
5;Само приложение удобное. Особенно теперь, когда снова стало работать с Neizu m5 note. Пару месяцев ругались на прошивку телефона, ничего не менял. Сегодня запустил на удачу, работает;2017-08-11
5;Супер,просто супер;2017-08-11
5;Очень удобно и доступно;2017-08-11
5;Удобно,быстро,красиво, безопасно;2017-08-11
4;Работает хорошо. Нареканий нет;2017-08-11
1;С обновлением приложения и появлением встроенного антивируса, стал тормозить весь телефон. В добавок он определил что на телефоне открыты root права, права и вправду были открыты. Я перепрошил телефон на официальную прошивку, root прав нет, а сбер пишет что есть！тел Meizu m3s;2017-08-11
1;Все хуже и хуже;2017-08-11
5;Очень хорошее приложения мне нравится.;2017-08-11
1;Отвратительное приложение. Очень долго соображает. В свой банк не зайти, нужно ввести номер из сообщения, которое после шести попыток так и не пришло. А после замечают подрзрительную активность... Когда время поджимает, а банк так себя ведет мало кому это понравится.;2017-08-10
1;Постоянно какой-то вирус в программе, который не позволяет сделать перевод денежных средст. Тупо не доработки;2017-08-10
5;Очень хорошее приложение.;2017-08-10
1;Пихнули какой то антивирус ненужный!;2017-08-10
1;Полная хрень! Пароли по смс не приходят! И после установки данного приложения на планшете пропал интернет! Ну нет его и все!!;2017-08-10
5;Быстро, удобно и главное без очередей.;2017-08-10
1;Идите нах со своим антивирусом!!!;2017-08-10
5;Отличное приложение. Спасибо сбербанк.;2017-08-10
5;Пользуюсь приложением достаточно давно, совершал покупки, оплачивали интернет и мобильную связь, переводил со счета на другие счета и другие банки, через приложение. Всё устраивало! Сейчас ставлю единицу за обнову!!! Весь функционал порезали, из всех возможностей осталось проверить баланс, и перевести между своими счетами, все другие функции пропали, переустановка приложения не помогла! Обращался в отделение банка, сказали переустановка поможет, но увы. И еще этот антивирус навязаный, бред полный, защиты девайса никакой. Требует пароль при входе по нескольку раз, и лагать начинает. Удаляю до решения проблемы!!!;2017-08-10
5;Все ок;2017-08-10
5;Александр Владимирович;2017-08-10
1;Ввёл пароль, приходит смс о входе в аккаунт, и выкидывает опять на экран ввода пароля. И так постоянно.;2017-08-10
4;Пришлось два раза переустанавливать не включалась функция перевод с контактов телефона не распознавал телефоны.;2017-08-10
5;Всё устраивает, но есть одна просьба: оповещайте клиента об отказе или об одобрении в оформлении кредита.;2017-08-10
5;Мне нравится, удобное приложение. Пока не совсем разобралась, есть ли возможность узнать информацию о кредите и заказать досрочное погашение.;2017-08-10
5;Отличное приложение!;2017-08-10
5;Просто удобно надежно;2017-08-10
5;10/10;2017-08-10
5;Спасибо сбербанку за такое приложение. . И всем советую;2017-08-10
5;Супер;2017-08-10
5;Мне всё нравится;2017-08-10
4;Очень удобно и быстро;2017-08-10
5;Приложение👍;2017-08-10
5;Очен удобна, спосиба;2017-08-10
4;Приложение хорошее. Но если ц вас рутованый телефон, то будет доступна только урезанная версия. Это достаточно неудобно.;2017-08-10
5;Очень-очень хорошее и нужное приложение. Пользуюсь им несколько лет и ни разу не пожалела! Процветания Вам на радость всем людям!!!;2017-08-10
5;Пока нет проблем .;2017-08-10
5;Очень удобно пользоваться этим приложением;2017-08-10
5;Пока нравится,минусов не нахожу,спасибо;2017-08-10
5;Удобно работать в данном приложении;2017-08-10
3;"Иногда слишком долго приходится ждать пока запустится приложение. А бввает такое что и вообше не можешь зайти;";2017-08-10
5;Отличное приложение;2017-08-10
5;Удобно;2017-08-10
5;Просто и удобно.;2017-08-10
5;Пока что отлично!!!;2017-08-10
3;Приложение открывается только со второго набора пароля. Раньше такого не было. Очень напрягает.;2017-08-10
5;Отлично;2017-08-10
5;Все гуд рабит;2017-08-10
1;Ужас а не сервис. Ни как не придет сообщение с паролем;2017-08-10
5;Отличное приложение;2017-08-10
5;Очень удобное приложение, работает четко.;2017-08-10
5;Удобная штука, очень экономит время!;2017-08-10
5;Все замечательно);2017-08-10
5;Все Ок!;2017-08-10
5;Все быстро, удобно;2017-08-10
5;Очень удобно стало. Все под рукой. Все нравится.;2017-08-10
5;Рпрор;2017-08-10
5;Удобное приложение;2017-08-10
5;Очень хорошая и нужная программа. Отлично работает;2017-08-10
5;Супер;2017-08-10
5;Очень удобно. Супер!!!!;2017-08-10
4;Операции по списаниям отображаются не все,приходится ждать 3 дня.;2017-08-10
5;Очень удобное приложение;2017-08-10
5;Самое лучшее из приложения;2017-08-10
4;Удобно, что не надо вводить пароль для подтверждения платежа;2017-08-10
5;Приятно работать сбербанк онлаин спасибо вам;2017-08-10
5;Почему то не информирует о штрафах ГИБДД. Хотя только ради этого и установил. Пришлось ещё одно приложение ставить. А так, в плане других финансовых операций, все хорошо. Удобно.;2017-08-10
4;После обновления перестало запускаться, не видит сеть, это очень плохо, а до этого все нравилось, зря обновил(;2017-08-10
5;Ок;2017-08-10
1;Не могу установить;2017-08-10
1;Не обновляется;2017-08-10
5;Очень удобно и всё понятно;2017-08-10
5;Очень удобное приложение,с ним можно оплачивать все,а главное разобраться в нем можно быстро и без проблем!;2017-08-10
5;Всё очень удобно!;2017-08-10
5;Очень нравится;2017-08-10
5;Удобное приложение;2017-08-10
5;Очень удобно!!!;2017-08-10
5;Быстро и Надежно;2017-08-10
5;Думаю буду доволен;2017-08-10
2;С каждым обновлением работает все хуже. После пследнего - отвратительно! По несколку раз набираю пароль, не отправляется чек по email, перестали приходить сообщния о входе в приложение. Кому нужна проверка прошивки перед каждым входом? И в общем приложение стало очен не торопливым. Господа разработжики перестанте заниматься ерундой, ваши обновления нужны только вам самим, чтобы оправдать зарплату.;2017-08-10
1;Root доступа нет, телефон абс.новый, но ваше приложение работает в ограниченном режиме. И почему из всех этих отзывов по рут правам нет ответа от разрабов? Meizu, Xiaomi и др. телефоны в вашем черном списке? Только iphone и samsung и ряд других телефонов вы одобряете? Так сразу пишите что с meizu и др. телефоны (лучше все опишите какие телефоны) приложение моб.сбербанк конфликтует.;2017-08-10
5;Очень удобно! Спасибо.;2017-08-10
5;Очень удобное приложение;2017-08-10
5;Отличное приложение, очень помогает.;2017-08-10
5;Программа Программа;2017-08-10
5;Очень удобная программа;2017-08-10
5;Отличное приложение!!!!!;2017-08-10
5;Тел без рута, работает стабильно, меня устраивает. Также рад, что приложение развивается, лично мне пользоваться удобно.;2017-08-10
5;Пока всё нравится);2017-08-10
4;Задерживается оповещение о входе в приложение.;2017-08-10
5;Огромная спосибо вам за передоставленни возможносты..;2017-08-10
5;Супер;2017-08-10
1;"После обновления доступны не все функции, пишет что ""левая"" прошивка.";2017-08-10
5;Очень удобное приложение;2017-08-10
5;Только немного тормозит.;2017-08-10
3;Все бы хорошо, но... У меня есть вклад в сбербанке и приложение его не видит. Обращалась в отделение, они помочь не смогли, сказали должно быть по умолчанию... Подскажите, как можно сделать так, чтобы кроме карт я могла управлять еще и вкладами из приложения?;2017-08-10
2;Каждый вход сопровождается инициализацией антивируса и проверкой прошивки. Ребятушки😀 а почему бы вам в наши трусики не заглядывать? Ну иль игрульку добавьте на время ожидания входа;2017-08-10
5;Отличное приложение;2017-08-10
5;Приложение отличнок;2017-08-10
5;Очень удобно! Спасибо.;2017-08-10
5;Нормас. зашел пополнил. 10 пополнений из 10;2017-08-10
5;Супер;2017-08-10
5;Удобно;2017-08-10
5;Все хорошо;2017-08-10
5;Рек.!;2017-08-10
5;Отличное приложение!;2017-08-10
5;Везде со мной платеж;2017-08-10
5;Все нравиться;2017-08-10
3;Все хорошо. Только очень долго открывается из за проверки антивируса и прошивки.;2017-08-10
5;Отличное приложение.Все быстро и очень удобно;2017-08-10
5;Пока всё устраивает;2017-08-10
5;Удобно и легко управлять;2017-08-10
5;Крутая программа;2017-08-10
5;Очень удобно, что не приходиться бегать до банкомата, что бы совершить платеж;2017-08-10
4;Норм;2017-08-10
1;"После сброса системы до заводских параметров не могу установить ваше приложение повторно. Система выдаёт ""код ошибки 24"". Все перепробовал! До лампочки! Что, менять аппарат? Фигня какая-то:(";2017-08-10
5;Устраивает вполне;2017-08-10
4;Необходимое приложение;2017-08-10
5;Мобильность;2017-08-10
2;Очень долго происходит процесс входа в лк;2017-08-10
1;Рукожопов набрали от пивнушек по объявлению, конечно работать не будет.;2017-08-10
5;Все отлично работает;2017-08-10
5;"В целом всё устраивает. Но, уважаемые разработчики, добавьте, пожалуйста, функцию ""Добавить пользователя"". Очень надо )";2017-08-10
5;Просто супер;2017-08-10
5;Удобно;2017-08-10
5;Очень удобное приложение! Ставлю пять);2017-08-10
5;Все просто супер;2017-08-10
5;Целый день выдает ошибку - плохое соединение с интернетом. Но Интернет работает отлично...;2017-08-10
1;Не очень;2017-08-10
4;Пока все нравится, но нужно работать над мелочами.;2017-08-10
5;Все отлично;2017-08-10
4;Иногда просит ввести пароль несколько раз.;2017-08-10
5;А куда дели контакты при переводе по номеру телефона ? Это то уже зачем убрали ? Ужасно неудобно стало ! 2 звезды и это максимум за такой косяк .... браво разработчикам 😒....;2017-08-10
5;Окей;2017-08-10
4;Нормально, только долго открывается;2017-08-10
5;Все хорошо работает;2017-08-10
5;Хорошее приложение. Удобно что не нужно каждый раз вводить код по смс. Уже через пороль безопасности проверена. облегчает работу с платежами.;2017-08-10
4;"Раскрашено без меры. Я захожу в приложение банка, нафига мне эти ""цветочки, домики, звёздочки""? Нет информации по текущим кредитам.";2017-08-10
5;Еще бы перевод на киви кошелек слелали;2017-08-10
2;Читая отзывы понимаю, что разработчикам абсолютно пофиг, что тут пишут клиенты, ни ответов, ни исправлений в приложении нет!;2017-08-10
5;Мне нравиться;2017-08-10
5;Мне нравится, только вход очень долгий;2017-08-10
5;Суппер все!;2017-08-10
5;Удобно, понятно, надёжно...;2017-08-10
5;Ок Здравствуйте;2017-08-10
5;Очень классное;2017-08-10
5;Пока нравится.;2017-08-10
5;Очень очень удобное приложение;2017-08-10
5;Пока работает без проблем!;2017-08-10
4;Норм;2017-08-10
5;Огонь.супер, грамотно и надежно. 5+++++;2017-08-10
4;Иногда тормозит приложение;2017-08-10
5;Отличное приложение;2017-08-10
5;Молодцы;2017-08-10
2;По три раза просит пароль задолбал исправьте пожалуйста;2017-08-10
1;Обновление можно откатить? Изчезли шаблоны после обновления( Придётся удалять - не работает, зачем скачал это обновление? Разработчики идиоты...;2017-08-10
5;Спасибо за приложение Меня все устраивает! Экономия времени огромная -а это самое ценное! Спасибо разработчикам!;2017-08-10
5;Очень хороший сервис!;2017-08-10
5;После обновления очень порадовали. Новый дизайн, супер.;2017-08-10
4;Нужное ПО. Интерфейс удобный, понятный. Но при запуске по несколько раз приходится вводить пароль. Похоже на баг.;2017-08-10
1;Вы угараете？При регестрации просит логин. Четыре раза ввожу логин,говорит логин занят！Пишу GavnoVonychee84 В ответ...ЛОГИН ЗАНЯТ！;2017-08-10
1;Приложение как и раньше вылетает при оплате мобильной связи , пробывал на всех операторах , просто останавливается и всё. Samsung note 10.1 Как было гав....о,так и осталось га...о.;2017-08-10
5;Лучшее банковское приложение это СБЕРБАНК;2017-08-10
5;Хорошо и удобно;2017-08-10
5;Мне все нравиться очень удобно;2017-08-10
5;Все работает;2017-08-10
5;После обновления приложение очень зависает и многое чего не открывает не могу ни войти ни заново зарегистрировать;2017-08-10
5;Очень удобно и главное никаких комиссионных.;2017-08-10
5;Все легко и просто.;2017-08-10
5;Все очень круто;2017-08-10
5;Кайфую от приложения.;2017-08-10
5;Очень удобно и оперативно;2017-08-10
5;Понятно.доходчиво.быстро.;2017-08-10
5;Незаменимый помощник. Пароль бы ещё не по пять раз спрашивал)));2017-08-10
5;Все ок;2017-08-10
5;Удобно и быстро;2017-08-10
5;Все удобно и просто;2017-08-10
5;Хорошее приложение...;2017-08-10
5;Всё путём;2017-08-10
5;Мне удобно супер;2017-08-10
5;Удобно;2017-08-10
3;Бесят лаги;2017-08-10
1;По ходу комментарии ни кто не читает. Что пишут люди. С каждым разом приложение все хуже. Очень разочарован.;2017-08-10
5;Очень удобное приложение;2017-08-10
5;Отличное и удобное приложение всегда есть доступ к своим счетам.;2017-08-10
5;Удобно Удобно;2017-08-10
3;Зависает;2017-08-10
2;Не подключается андроид пэй На мейзу;2017-08-10
3;На моем телефоне перестало работать приложение (((;2017-08-10
1;Конечный банк,такое же приложение, чтобы пополнить телефон необходимо для подтверждения операции позвонить в банк;2017-08-10
5;Удобное приложение для работы с финансами.;2017-08-10
5;Все хорошо,но у меня вопрос,если срочно нужны деньги,а ты их до трех дней нет,что делать!;2017-08-10
5;Все хорошо работает;2017-08-10
5;Оч удобно !;2017-08-10
4;Очень долго загружается. А так все удобно;2017-08-10
5;Удобно;2017-08-10
5;Много времени экономит, очень много времени;2017-08-10
5;Очень хорошее удобное приложения;2017-08-10
5;Хорошо;2017-08-10
1;После последнего обновления на моем устройстве приложение перестало полноценно работать. Ограничение по причине незаводской прошивки. Исправьте.;2017-08-10
5;Самое удобное приложение по сравнению с другими приложениями банков;2017-08-10
5;Мне норм);2017-08-10
5;"По- моему очень удобное приложение . Не выходя из дома можно и на телефон деньги закинуть , и на карту и еще много полезных и экономящих время функций . Все опции "" разложены по полочкам"" . Довольна приложением на 5/5 . Спасибо разработчикам";2017-08-10
5;Все отлично!;2017-08-10
5;Удобно и быстро,а самое главное то,что всё под полным контролем))!;2017-08-10
5;самое лучшее приложение на свете!!!!;2017-08-10
5;Все работает хорошо удобный интерфейс;2017-08-10
1;Я за границей как отключить интернет банкинг?;2017-08-10
1;Ужасный банк! Самый худший!!! Без чека с банкомата или посещения банка вы не сможете перевести даже 10 тысяч человеку! И постоянно не работают банкоматы!!! Самый жуткий банк! Чтобы перевести деньги с приложения - вы должны распечатать в банкоматов бумажку! Вот зачем вообще тогда нужно приложение???;2017-08-10
5;Спасибо;2017-08-10
5;Отлично и удобно! Спасибо;2017-08-10
4;Норм;2017-08-10
1;Приложение не устанавливается!!!;2017-08-10
5;Всё просто шикарно!!!;2017-08-10
3;Не возможно войти по старому аккаунту это минус!;2017-08-10
5;Удобное приложение;2017-08-10
4;Отличное приложение анивирус надо улучшить . Когда вводишь код, спрашивает два раза. С чем это связано? Пускай ваша программа блокирует всю подозрительную информацию в вашем приложении.;2017-08-10
4;Удобно;2017-08-10
5;Очень удобное приложение, банк всегда под рукой и всегда доступен;2017-08-10
5;Сделайте так , чтобы в истории были и поступления , на Райффайзен это есть . Это важно ,чтобы любые изменения счета были видны. спасибо;2017-08-10
1;Останавливается на середине загрузки и всё. Как пользоваться???;2017-08-10
5;Очень удобное приложение;2017-08-10
5;Мне нравится;2017-08-10
5;Отличное приложение!Всем доволен!;2017-08-10
1;Полное дерьмо, никаких средств защиты, спишет средства даже Саратовский школьник, а вернуть своими ногами одни заморочки, если ещё вернешь.;2017-08-10
5;Приложение очень удобное;2017-08-10
1;После обновления, приложение работает отвратительно, очень долго загружается, пропали и самопроизвольно отключаются шаблоны.;2017-08-10
5;Просто и быстро! Отлично!;2017-08-10
5;Много полезной информации , теперь я в курсе своих расходов;2017-08-10
3;Два дня потратил на первый платеж! Дальше думаю проще будет.;2017-08-10
5;Почему-то отображается не вся история. Некоторые переводы через банкоматы не показывает.;2017-08-10
2;Долго приходит смс а иногда вообще не приходит;2017-08-10
5;Мне очень нравится очень удобно;2017-08-10
5;Очень удобно;2017-08-10
5;Даю пятюлю сбербанку братюне;2017-08-10
5;Просто чётко быстро;2017-08-10
5;Купил новый телефон. Понятия не имею что такое рут доступ, и не хочу в этом даже разбираться-это не мой профиль. Но теперь приложение не дает мне работать с моими же деньгами. !!!! Перепрошивка!!!! Избавила от проблем перепрошивка телефона. Теперь приложение работает как часы☺;2017-08-10
5;Отличное приложение;2017-08-10
4;за то что у вас перевод денежных переводов нет;2017-08-10
5;Великолепное приложение все ок;2017-08-10
4;Подскажите. У меня само удалилось приложение. И не могу установить. Ошибка 491. Ничего не помогает. Все инструкции испробовали;2017-08-10
5;Жкх без процентов просто сканируя штрих-код? 10/10 ну или 5/5 в данном случае.;2017-08-10
5;Тяжеловато чуть чуть...;2017-08-10
5;Отлично;2017-08-10
1;Приложение установлено,но не открывается.Пишут про какую то устаревшую лицензию защиты и что надо ее обновить.;2017-08-10
5;Всё хорошо работает;2017-08-10
5;Хорошее приложение. Удобно выполнять платежи. Все нравится.;2017-08-10
3;Иногда тупит программа;2017-08-10
5;Супер! Я очень довольна приложением. Очень удобно.;2017-08-10
